id,name,group,keywords_and_phrases,clarify_questions,challenge_questions,curious_response,direct_response,deescalating_response
52,Overgeneralization,Scale,always | never | every single time | constantly | nothing | everything | everyone | nobody | all you do | every time,"What time period and actual frequency justify words like 'always' or 'never'? | How large is the evidence set compared with the size of the conclusion? | What exceptions, denominators, or important differences have to be counted?","Can we replace the absolute claim with a measured one using actual frequency and scope? | Replace absolutes with frequency and examples: “This happened three times this month, and it is affecting my trust.”","How often has this actually happened, over what period, and what exceptions are there?",That conclusion is broader than the examples so far. Let's make the scope match the evidence.,I hear that this feels like a pattern. Can we define the pattern precisely enough to test it?
53,Slippery Slope,Scale,then this will lead to | and then it'll | and then it will | eventually this means | next thing you know | if this then eventually | chain reaction | slippery slope,"What evidence supports each step in the predicted chain rather than only the first and last? | How large is the evidence set compared with the size of the conclusion? | What exceptions, denominators, or important differences have to be counted?",Can we replace the absolute claim with a measured one using actual frequency and scope? | Examine each proposed link separately instead of treating the chain as automatic.,"How often has this actually happened, over what period, and what exceptions are there?",That conclusion is broader than the examples so far. Let's make the scope match the evidence.,I hear that this feels like a pattern. Can we define the pattern precisely enough to test it?
54,Composition Fallacy,Scale,one part means the whole | this decision proves who you are | one session proves the whole | one behavior means the person | part therefore whole | this piece means all of it,"Does one part or one incident really justify a conclusion about the whole person, relationship, or system? | How large is the evidence set compared with the size of the conclusion? | What exceptions, denominators, or important differences have to be counted?",Can we replace the absolute claim with a measured one using actual frequency and scope? | Keep the scale of the conclusion matched to the scale of the evidence.,"How often has this actually happened, over what period, and what exceptions are there?",That conclusion is broader than the examples so far. Let's make the scope match the evidence.,I hear that this feels like a pattern. Can we define the pattern precisely enough to test it?
55,Division Fallacy,Scale,whole means every part | our relationship is so every moment | the group is so each person | because the whole is | every part must be | whole therefore part,"Does a statement about the whole necessarily apply to every individual part or moment? | How large is the evidence set compared with the size of the conclusion? | What exceptions, denominators, or important differences have to be counted?",Can we replace the absolute claim with a measured one using actual frequency and scope? | Shared systems can contain unequal contributions. Evaluate the specific part instead of inheriting the judgment of the whole.,"How often has this actually happened, over what period, and what exceptions are there?",That conclusion is broader than the examples so far. Let's make the scope match the evidence.,I hear that this feels like a pattern. Can we define the pattern precisely enough to test it?
56,False Analogy,Scale,just like | same as | no different from | exactly like | basically the same as | equivalent to | that's like saying,"What important differences between the two situations could make the analogy fail? | How large is the evidence set compared with the size of the conclusion? | What exceptions, denominators, or important differences have to be counted?",Can we replace the absolute claim with a measured one using actual frequency and scope? | Identify the relevant similarities and the relevant differences before carrying a conclusion from one case to another.,"How often has this actually happened, over what period, and what exceptions are there?",That conclusion is broader than the examples so far. Let's make the scope match the evidence.,I hear that this feels like a pattern. Can we define the pattern precisely enough to test it?
57,Maximization,Scale,ruined everything | completely rejected | huge disaster | the entire weekend | worst ever | massive problem | blew it up | made it much bigger,"Is the importance, frequency, or meaning of the negative event being inflated beyond the record? | How large is the evidence set compared with the size of the conclusion? | What exceptions, denominators, or important differences have to be counted?",Can we replace the absolute claim with a measured one using actual frequency and scope? | Use proportionate language. Serious problems do not become more serious by making them larger than the evidence allows.,"How often has this actually happened, over what period, and what exceptions are there?",That conclusion is broader than the examples so far. Let's make the scope match the evidence.,I hear that this feels like a pattern. Can we define the pattern precisely enough to test it?
58,Minimization,Scale,only yelling | just a text | not a big deal | just one time | only happened once | it's nothing | it was nothing | you're overreacting | barely matters,"Is a meaningful event or impact being made smaller simply because it is inconvenient to address? | How large is the evidence set compared with the size of the conclusion? | What exceptions, denominators, or important differences have to be counted?",Can we replace the absolute claim with a measured one using actual frequency and scope? | Describe the event accurately enough to capture both behavior and impact without exaggerating or shrinking it.,"How often has this actually happened, over what period, and what exceptions are there?",That conclusion is broader than the examples so far. Let's make the scope match the evidence.,I hear that this feels like a pattern. Can we define the pattern precisely enough to test it?
59,False Consensus Effect,Scale,any husband would | any wife would | any partner would | everyone knows spouses | most reasonable people | we all know | any normal person | everyone feels this way,"What evidence shows that most reasonable people actually share this rule or assumption? | How large is the evidence set compared with the size of the conclusion? | What exceptions, denominators, or important differences have to be counted?","Can we replace the absolute claim with a measured one using actual frequency and scope? | Your norm may be common, uncommon, or somewhere between. A couple still has to make its own explicit agreements.","How often has this actually happened, over what period, and what exceptions are there?",That conclusion is broader than the examples so far. Let's make the scope match the evidence.,I hear that this feels like a pattern. Can we define the pattern precisely enough to test it?
60,No True Scotsman,Scale,real husband | real wife | real partner | true husband | true wife | true partner | no real spouse would | if they were truly supportive | doesn't count because they're not really,"Is a counterexample being excluded by redefining who counts as a 'real' member of the category? | How large is the evidence set compared with the size of the conclusion? | What exceptions, denominators, or important differences have to be counted?",Can we replace the absolute claim with a measured one using actual frequency and scope? | Let counterexamples test the rule instead of changing the definition to save the rule.,"How often has this actually happened, over what period, and what exceptions are there?",That conclusion is broader than the examples so far. Let's make the scope match the evidence.,I hear that this feels like a pattern. Can we define the pattern precisely enough to test it?
61,Ad Hominem,Relevance,you're crazy | you are crazy | you're obsessed | you are obsessed | you're impossible | you are impossible | you're stupid | you are stupid | you're just emotional | you are just emotional | attack the person,"Can the claim be answered without making a judgment about the person's character? | What was the original question or claim? | Does this response answer it directly, or move to a different issue/person/definition?",Can we answer the original question first and handle the second issue separately? | Return to the proposition: even an imperfect messenger can raise a legitimate issue.,Can we finish the original question before moving to that other issue?,"That may be worth discussing, but it doesn't answer the point we're on.",I will come back to that issue. First I'd like us to finish the one already on the table.
62,Loaded Question,Relevance,why do you keep | when will you stop | when did you stop | why are you always | why did you deliberately | why are you controlling | why do you refuse to | loaded question,"What assumption is already built into the question before it is answered? | What was the original question or claim? | Does this response answer it directly, or move to a different issue/person/definition?",Can we answer the original question first and handle the second issue separately? | Remove the assumption and ask the observable question first.,Can we finish the original question before moving to that other issue?,"That may be worth discussing, but it doesn't answer the point we're on.",I will come back to that issue. First I'd like us to finish the one already on the table.
63,Begging the Question,Relevance,because it is | because you're | because you are | it's true because it's true | it is true because it is true | that proves itself | because that's what it is,"Is the conclusion being used as the reason for believing the conclusion? | What was the original question or claim? | Does this response answer it directly, or move to a different issue/person/definition?",Can we answer the original question first and handle the second issue separately? | Supply independent reasons instead of restating the conclusion in new words.,Can we finish the original question before moving to that other issue?,"That may be worth discussing, but it doesn't answer the point we're on.",I will come back to that issue. First I'd like us to finish the one already on the table.
64,Motte-and-Bailey,Relevance,i only meant | I only meant | that's not what i meant | that is not what i meant | i didn't say always | i did not say always | retreat to | weaker claim | strong claim then weaker,"What was the original strong claim, and has it been weakened only after challenge? | What was the original question or claim? | Does this response answer it directly, or move to a different issue/person/definition?",Can we answer the original question first and handle the second issue separately? | Keep the claim at one level. A feeling of being unsupported may be valid without proving prohibition or deliberate isolation.,Can we finish the original question before moving to that other issue?,"That may be worth discussing, but it doesn't answer the point we're on.",I will come back to that issue. First I'd like us to finish the one already on the table.
65,Equivocation,Relevance,by support i mean | by support I mean | same word different meaning | that's not what support means | freedom means | safe means | respect means | changed the meaning | word means two things,"Is the same key word being used with two different meanings in the argument? | What was the original question or claim? | Does this response answer it directly, or move to a different issue/person/definition?",Can we answer the original question first and handle the second issue separately? | Define the key word. Many circular fights are really fights between different definitions.,Can we finish the original question before moving to that other issue?,"That may be worth discussing, but it doesn't answer the point we're on.",I will come back to that issue. First I'd like us to finish the one already on the table.
66,Moving the Goalposts,Relevance,not enough anymore | now you need | that doesn't count | that does not count | i asked for x now y | standard changed | goalpost | even after you did that,"What was the original standard, and did it change after that standard was met? | What was the original question or claim? | Does this response answer it directly, or move to a different issue/person/definition?","Can we answer the original question first and handle the second issue separately? | Before evaluating success, state what would count as meeting the request and do not silently replace it afterward.",Can we finish the original question before moving to that other issue?,"That may be worth discussing, but it doesn't answer the point we're on.",I will come back to that issue. First I'd like us to finish the one already on the table.
67,Red Herring,Relevance,that's a different issue | that is a different issue | side issue | anyway what about | instead let's talk about | instead let us talk about | not answering the question | change the subject | unrelated point,"Does this new issue actually answer the question currently being discussed? | What was the original question or claim? | Does this response answer it directly, or move to a different issue/person/definition?",Can we answer the original question first and handle the second issue separately? | Park the second issue and return to it after the first question is answered.,Can we finish the original question before moving to that other issue?,"That may be worth discussing, but it doesn't answer the point we're on.",I will come back to that issue. First I'd like us to finish the one already on the table.
68,Whataboutism,Relevance,what about | but you | well you | and you did | what about when you | you did it too so | instead of answering you,"Can the original criticism be answered before bringing up the other person's wrongdoing? | What was the original question or claim? | Does this response answer it directly, or move to a different issue/person/definition?",Can we answer the original question first and handle the second issue separately? | Two wrongs can both deserve attention. Address them one at a time.,Can we finish the original question before moving to that other issue?,"That may be worth discussing, but it doesn't answer the point we're on.",I will come back to that issue. First I'd like us to finish the one already on the table.
69,Tu Quoque,Relevance,you do it too | you've done it | you have done it | you're a hypocrite | you are a hypocrite | same criticism applies to you | who are you to say,"Would the criticism still be valid even if the critic has done the same thing? | What was the original question or claim? | Does this response answer it directly, or move to a different issue/person/definition?","Can we answer the original question first and handle the second issue separately? | A person can be inconsistent and still make a valid point. Deal with the behavior, then deal with the hypocrisy separately.",Can we finish the original question before moving to that other issue?,"That may be worth discussing, but it doesn't answer the point we're on.",I will come back to that issue. First I'd like us to finish the one already on the table.
70,Poisoning the Well,Relevance,before they answer know that | expect them to lie | they'll deny everything | they will deny everything | can't trust anything they say | cannot trust anything they say | they're defensive so | they are defensive so,"Has the speaker been discredited in advance so that any response will be interpreted negatively? | What was the original question or claim? | Does this response answer it directly, or move to a different issue/person/definition?",Can we answer the original question first and handle the second issue separately? | Evaluate the statement before using a character judgment to decide what it means.,Can we finish the original question before moving to that other issue?,"That may be worth discussing, but it doesn't answer the point we're on.",I will come back to that issue. First I'd like us to finish the one already on the table.
71,Appeal to Ridicule,Relevance,that's ridiculous | that is ridiculous | laughable | how romantic | what a joke | that's stupid | that is stupid | mocking | sarcastic dismissal,"What argument remains after the mockery or sarcasm is removed? | What was the original question or claim? | Does this response answer it directly, or move to a different issue/person/definition?","Can we answer the original question first and handle the second issue separately? | A position can sound awkward and still be reasonable. Critique the substance, not how easy it is to mock.",Can we finish the original question before moving to that other issue?,"That may be worth discussing, but it doesn't answer the point we're on.",I will come back to that issue. First I'd like us to finish the one already on the table.
72,Appeal to Tradition,Relevance,always done it this way | we've always | we have always | tradition | that's how marriage works | that is how marriage works | because that's how it's always been | because that is how it has always been,"Is the practice being defended because it works, or merely because it is familiar and old? | What was the original question or claim? | Does this response answer it directly, or move to a different issue/person/definition?","Can we answer the original question first and handle the second issue separately? | Tradition can carry meaning, but current conditions still determine whether the practice works.",Can we finish the original question before moving to that other issue?,"That may be worth discussing, but it doesn't answer the point we're on.",I will come back to that issue. First I'd like us to finish the one already on the table.
73,Appeal to Novelty,Relevance,new way is better | modern is better | new therapy | latest approach | more evolved | newer must be | because it's new | because it is new,"What evidence makes the newer approach better besides the fact that it is newer? | What was the original question or claim? | Does this response answer it directly, or move to a different issue/person/definition?",Can we answer the original question first and handle the second issue separately? | Newness is neither proof of improvement nor proof of decline. Evaluate results and principles.,Can we finish the original question before moving to that other issue?,"That may be worth discussing, but it doesn't answer the point we're on.",I will come back to that issue. First I'd like us to finish the one already on the table.
74,Appeal to Nature,Relevance,natural so | human nature so | normal therefore | it's natural | it is natural | biological so | instinct so | natural means right,"Does being natural make the behavior good, justified, or obligatory? | What was the original question or claim? | Does this response answer it directly, or move to a different issue/person/definition?","Can we answer the original question first and handle the second issue separately? | Natural impulses still operate inside consent, responsibility, and negotiated agreements.",Can we finish the original question before moving to that other issue?,"That may be worth discussing, but it doesn't answer the point we're on.",I will come back to that issue. First I'd like us to finish the one already on the table.
75,Straw Man,Relevance,so you're saying | so you are saying | so feelings mean nothing | so i need permission | so I need permission | you mean that | twist what i said | extreme version of what i said,"Can you restate the other person's position in a way they would recognize as accurate? | What was the original question or claim? | Does this response answer it directly, or move to a different issue/person/definition?",Can we answer the original question first and handle the second issue separately? | Restate the other person’s actual claim in a form they recognize before responding to it.,Can we finish the original question before moving to that other issue?,"That may be worth discussing, but it doesn't answer the point we're on.",I will come back to that issue. First I'd like us to finish the one already on the table.
76,False Equivalence,Fairness,same thing | equally bad | both did | exactly equivalent | no different morally | same level | these are identical,"What relevant differences make the two situations equivalent or not equivalent? | What rule is being applied, and would it survive a role reversal? | Are both people's relevant actions being judged by the same principle?","Would this exact standard still seem fair with the names reversed? | Compare the features that actually matter: consent, frequency, stakes, intent, impact, and prior agreement.",Would we use the same rule if our roles were reversed?,"I want the same principle applied to both of us, with any relevant differences explained.",I don't need everything to be identical. I do want us to name the principle we're using for both sides.
77,Special Pleading,Fairness,that's different | that is different | exception for me | my case is special | doesn't apply to me | does not apply to me | special case | rule applies except,"What principle justifies making an exception in this case, and would it apply to the other person too? | What rule is being applied, and would it survive a role reversal? | Are both people's relevant actions being judged by the same principle?","Would this exact standard still seem fair with the names reversed? | If an exception is justified, name the relevant difference. Otherwise apply the same rule.",Would we use the same rule if our roles were reversed?,"I want the same principle applied to both of us, with any relevant differences explained.",I don't need everything to be identical. I do want us to name the principle we're using for both sides.
78,Double Standard,Fairness,i can but you can't | I can but you can’t | i can but you cannot | different rules | double standard | okay when i do it | wrong when you do it | same act different rule,"Would you apply the same rule if the roles were reversed? | What rule is being applied, and would it survive a role reversal? | Are both people's relevant actions being judged by the same principle?",Would this exact standard still seem fair with the names reversed? | Ask whether you would accept the same standard with the roles reversed.,Would we use the same rule if our roles were reversed?,"I want the same principle applied to both of us, with any relevant differences explained.",I don't need everything to be identical. I do want us to name the principle we're using for both sides.
79,Selective Accountability,Fairness,only your part | we're not talking about me | we are not talking about me | only you need to change | your reaction only | my part is irrelevant | selective accountability,"Are all relevant contributions being examined, or only one person's? | What rule is being applied, and would it survive a role reversal? | Are both people's relevant actions being judged by the same principle?","Would this exact standard still seem fair with the names reversed? | Accountability is not fifty-fifty in every event, but every relevant behavior should be examinable.",Would we use the same rule if our roles were reversed?,"I want the same principle applied to both of us, with any relevant differences explained.",I don't need everything to be identical. I do want us to name the principle we're using for both sides.
80,Fundamental Attribution Error,Fairness,because you're that kind of person | because you are that kind of person | that's who you are | that is who you are | you did it because you're | you did it because you are | character explains it | personality not situation,"What situational pressures might explain the behavior before turning it into character? | What rule is being applied, and would it survive a role reversal? | Are both people's relevant actions being judged by the same principle?",Would this exact standard still seem fair with the names reversed? | Consider both disposition and situation before turning behavior into character.,Would we use the same rule if our roles were reversed?,"I want the same principle applied to both of us, with any relevant differences explained.",I don't need everything to be identical. I do want us to name the principle we're using for both sides.
81,Actor-Observer Bias,Fairness,i did it because | I did it because | you did it because | when i do it it's because | when you do it it's because | my circumstances your character | same behavior different explanation,"Are you explaining your own behavior by circumstances but the other person's by character? | What rule is being applied, and would it survive a role reversal? | Are both people's relevant actions being judged by the same principle?",Would this exact standard still seem fair with the names reversed? | Describe both people with the same level of situational generosity and behavioral accountability.,Would we use the same rule if our roles were reversed?,"I want the same principle applied to both of us, with any relevant differences explained.",I don't need everything to be identical. I do want us to name the principle we're using for both sides.
82,Self-Serving Bias,Fairness,good because of me | bad because of you | when it works i did | when it fails you did | success is mine | failure is yours | credit me blame you,"Are you using one causal standard for outcomes that flatter you and another for outcomes that do not? | What rule is being applied, and would it survive a role reversal? | Are both people's relevant actions being judged by the same principle?",Would this exact standard still seem fair with the names reversed? | Use the same causal standard for outcomes that flatter you and outcomes that do not.,Would we use the same rule if our roles were reversed?,"I want the same principle applied to both of us, with any relevant differences explained.",I don't need everything to be identical. I do want us to name the principle we're using for both sides.
83,Self-Justification,Fairness,had to | no choice | you made me | i was forced to | I was forced to | there was no alternative | what else could i do | what else could I do,"What alternatives existed, even if they were uncomfortable or difficult? | What rule is being applied, and would it survive a role reversal? | Are both people's relevant actions being judged by the same principle?",Would this exact standard still seem fair with the names reversed? | An explanation can be true and still not eliminate responsibility. Ask what alternative choices existed.,Would we use the same rule if our roles were reversed?,"I want the same principle applied to both of us, with any relevant differences explained.",I don't need everything to be identical. I do want us to name the principle we're using for both sides.
84,Sunk Cost Fallacy,Fairness,already invested | all these years | too much time | too much money | can't waste what we put in | cannot waste what we put in | we've come this far | we have come this far,"If the past investment disappeared, what choice would make the most sense from today forward? | What rule is being applied, and would it survive a role reversal? | Are both people's relevant actions being judged by the same principle?","Would this exact standard still seem fair with the names reversed? | Past investment matters emotionally, but the decision should turn on future values, costs, and possibilities.",Would we use the same rule if our roles were reversed?,"I want the same principle applied to both of us, with any relevant differences explained.",I don't need everything to be identical. I do want us to name the principle we're using for both sides.
85,Moral Licensing,Fairness,after all i do | after all I do | i deserve | I deserve | i earned the right | i sacrificed so | because i've been good | because I’ve been good | good deed earns exception,"Does a prior good deed or sacrifice actually create an exemption from the current rule? | What rule is being applied, and would it survive a role reversal? | Are both people's relevant actions being judged by the same principle?","Would this exact standard still seem fair with the names reversed? | Good actions do not purchase exemptions from consent, accountability, or respect.",Would we use the same rule if our roles were reversed?,"I want the same principle applied to both of us, with any relevant differences explained.",I don't need everything to be identical. I do want us to name the principle we're using for both sides.
86,Just-World Fallacy,Fairness,got what they deserved | must have caused it | happened so deserved | bad thing happened so they must | people get what they deserve | if they suffered they caused,"Are you assuming the outcome proves what the person deserved or morally caused? | What rule is being applied, and would it survive a role reversal? | Are both people's relevant actions being judged by the same principle?","Would this exact standard still seem fair with the names reversed? | Bad outcomes can arise from mixed causes, incompatible needs, chance, trauma, or another person’s choices.",Would we use the same rule if our roles were reversed?,"I want the same principle applied to both of us, with any relevant differences explained.",I don't need everything to be identical. I do want us to name the principle we're using for both sides.
87,Zero-Sum Thinking,Fairness,if you win i lose | if you win I lose | either your needs or mine | one of us has to lose | your gain is my loss | can't both get needs met | cannot both get needs met,"Is there a solution where both people's interests can be represented rather than one person having to lose? | What rule is being applied, and would it survive a role reversal? | Are both people's relevant actions being judged by the same principle?","Would this exact standard still seem fair with the names reversed? | Look for arrangements where both needs can be represented, even if neither gets everything.",Would we use the same rule if our roles were reversed?,"I want the same principle applied to both of us, with any relevant differences explained.",I don't need everything to be identical. I do want us to name the principle we're using for both sides.
88,Omission Bias,Fairness,did nothing | didn't do anything | did not do anything | i never acted | I never acted | inaction doesn't count | inaction does not count | i only stayed silent | I only stayed silent,"What consequences came from what was knowingly left undone, not just from overt actions? | What rule is being applied, and would it survive a role reversal? | Are both people's relevant actions being judged by the same principle?",Would this exact standard still seem fair with the names reversed? | Ask what responsibility attaches both to what was done and to what was knowingly left undone.,Would we use the same rule if our roles were reversed?,"I want the same principle applied to both of us, with any relevant differences explained.",I don't need everything to be identical. I do want us to name the principle we're using for both sides.
89,Moral Luck,Fairness,nothing bad happened | turned out fine | bad luck | good luck | because the outcome was okay | because the outcome was bad | result decides blame | luck changes morality,"How much of the outcome was outside the person's control, and would you judge the same choice differently with different luck? | What rule is being applied, and would it survive a role reversal? | Are both people's relevant actions being judged by the same principle?",Would this exact standard still seem fair with the names reversed? | Separate the controllable choice from the uncontrollable outcome when assigning responsibility.,Would we use the same rule if our roles were reversed?,"I want the same principle applied to both of us, with any relevant differences explained.",I don't need everything to be identical. I do want us to name the principle we're using for both sides.
90,Confirmation Bias,Openness,confirms what i believe | confirms what I believe | only notice | everything fits my theory | see i was right | see I was right | ignore contrary | look for proof i'm right | look for proof I’m right,What is the strongest evidence against the conclusion you currently prefer? | What specific evidence could lower confidence in this conclusion? | Is there a real path by which the belief could be revised?,What result would genuinely make you update this belief? | Actively search for the strongest evidence against your preferred conclusion.,What evidence could realistically change your mind about this?,"If no possible answer or evidence could count against the claim, I can't meaningfully test it.",I want to understand the concern. It would help me to know what information could genuinely update the conclusion.
91,Belief Perseverance,Openness,even after evidence | still believe | doesn't matter what evidence | does not matter what evidence | i know anyway | I know anyway | evidence changed but belief didn't | evidence changed but belief did not,Has the original evidence changed while the belief remained untouched? | What specific evidence could lower confidence in this conclusion? | Is there a real path by which the belief could be revised?,"What result would genuinely make you update this belief? | When the foundation changes, deliberately reconsider the conclusion rather than merely finding a new justification for it.",What evidence could realistically change your mind about this?,"If no possible answer or evidence could count against the claim, I can't meaningfully test it.",I want to understand the concern. It would help me to know what information could genuinely update the conclusion.
92,Backfire Effect,Openness,evidence makes me more sure | proof makes me more convinced | correction proves i'm right | correction proves I’m right | the more you explain the more guilty | push back makes me believe more,Is corrective information being treated as another reason to become more certain? | What specific evidence could lower confidence in this conclusion? | Is there a real path by which the belief could be revised?,What result would genuinely make you update this belief? | Lower the identity threat. Ask what part of the belief can be updated without erasing the underlying experience.,What evidence could realistically change your mind about this?,"If no possible answer or evidence could count against the claim, I can't meaningfully test it.",I want to understand the concern. It would help me to know what information could genuinely update the conclusion.
93,Naive Realism,Openness,i'm just seeing reality | I’m just seeing reality | i'm objective | I’m objective | if you disagree you're biased | if you disagree you’re biased | any reasonable person sees | only i see it clearly | only I see it clearly,Are you assuming your own view is simply objective reality while disagreement proves bias or irrationality? | What specific evidence could lower confidence in this conclusion? | Is there a real path by which the belief could be revised?,What result would genuinely make you update this belief? | Separate confidence in evidence from the assumption that your interpretation is the only reasonable one.,What evidence could realistically change your mind about this?,"If no possible answer or evidence could count against the claim, I can't meaningfully test it.",I want to understand the concern. It would help me to know what information could genuinely update the conclusion.
94,Bias Blind Spot,Openness,i'm not biased | I’m not biased | you're biased | you’re biased | your fallacy | you always use fallacies | i don't have that bias | I don’t have that bias | bias is your problem,What bias or reasoning trap might you be contributing to this same situation? | What specific evidence could lower confidence in this conclusion? | Is there a real path by which the belief could be revised?,"What result would genuinely make you update this belief? | Before naming another person’s reasoning error, ask where the same category might appear in your own thinking.",What evidence could realistically change your mind about this?,"If no possible answer or evidence could count against the claim, I can't meaningfully test it.",I want to understand the concern. It would help me to know what information could genuinely update the conclusion.
95,Kafka Trap,Openness,denial proves it | asking proves it | defensiveness proves it | if you disagree that proves | the fact you deny it proves | needing evidence proves | anything you say proves,"Is there any possible response that could count against the accusation, or does every response prove it? | What specific evidence could lower confidence in this conclusion? | Is there a real path by which the belief could be revised?",What result would genuinely make you update this belief? | A fair claim must allow some possible response or evidence that could count against it.,What evidence could realistically change your mind about this?,"If no possible answer or evidence could count against the claim, I can't meaningfully test it.",I want to understand the concern. It would help me to know what information could genuinely update the conclusion.
96,False Dilemma,Openness,either you | either this or | only two choices | if not this then that | all or nothing | choose one of two | no middle ground,"What third, fourth, or mixed option exists beyond the two choices presented? | What specific evidence could lower confidence in this conclusion? | Is there a real path by which the belief could be revised?",What result would genuinely make you update this belief? | List at least one third option before accepting an either-or frame.,What evidence could realistically change your mind about this?,"If no possible answer or evidence could count against the claim, I can't meaningfully test it.",I want to understand the concern. It would help me to know what information could genuinely update the conclusion.
97,Circular Reasoning,Openness,because you're selfish because | because you are selfish because | true because it is true | unsafe because i feel unsafe and | the conclusion proves itself | same claim as evidence | circular,What independent evidence supports the conclusion rather than restating it? | What specific evidence could lower confidence in this conclusion? | Is there a real path by which the belief could be revised?,What result would genuinely make you update this belief? | Break the circle by asking for an observation that can be evaluated independently of the conclusion.,What evidence could realistically change your mind about this?,"If no possible answer or evidence could count against the claim, I can't meaningfully test it.",I want to understand the concern. It would help me to know what information could genuinely update the conclusion.
98,Status Quo Bias,Openness,keep it the same | always been this way | status quo | why change now | this is how we've always | this is how we have always | familiar is safer | don't change what works | do not change what works,Would you choose the current arrangement if you were deciding fresh today? | What specific evidence could lower confidence in this conclusion? | Is there a real path by which the belief could be revised?,What result would genuinely make you update this belief? | Compare the current arrangement with realistic alternatives instead of treating familiarity as evidence of superiority.,What evidence could realistically change your mind about this?,"If no possible answer or evidence could count against the claim, I can't meaningfully test it.",I want to understand the concern. It would help me to know what information could genuinely update the conclusion.
99,Reactance,Openness,don't tell me what to do | do not tell me what to do | because you asked me not to | now i want to because you said no | now I want to because you said no | i'll do the opposite | I’ll do the opposite | resist because controlled,"Are you rejecting the idea because of its merits, or because being told what to do threatens autonomy? | What specific evidence could lower confidence in this conclusion? | Is there a real path by which the belief could be revised?","What result would genuinely make you update this belief? | Notice the autonomy alarm, then evaluate the request separately from the discomfort of being asked.",What evidence could realistically change your mind about this?,"If no possible answer or evidence could count against the claim, I can't meaningfully test it.",I want to understand the concern. It would help me to know what information could genuinely update the conclusion.
100,In-Group Bias,Openness,my family | my side | our people | people like us | outsider | they're one of us | they are one of us | i trust them because they're family | I trust them because they’re family | our group knows better,Would you give the same credibility to this claim if it came from someone outside your group? | What specific evidence could lower confidence in this conclusion? | Is there a real path by which the belief could be revised?,What result would genuinely make you update this belief? | Apply the same evidence standard to insiders and outsiders.,What evidence could realistically change your mind about this?,"If no possible answer or evidence could count against the claim, I can't meaningfully test it.",I want to understand the concern. It would help me to know what information could genuinely update the conclusion.
